tazid,tothh,resacre,ciacre,totemp,cbd
441,392,108.01160773,0.832948918,86,0
442,183,63.728173714,38.287901203,1596,0
443,35,17.455402746,3.4483111280000003,179,0
444,311,101.799472465,0.442301327,66,0
445,460,102.686172774,2.8018049119999997,82,0
446,583,105.341148602,6.921207521,380,0
447,315,67.619912432,11.745570397,27,0
448,452,61.887362115,16.471903715,743,0
449,609,95.068769895,10.686112982,272,0
450,590,104.183447136,0.183767977,52,0
451,500,106.471598432,1.430146865,40,0
452,525,82.604393065,10.476444599999999,272,0
453,429,77.793175785,25.889955858,267,0
454,456,102.262881712,19.824585445,369,0
455,494,89.95020811,9.85630865,250,0
456,214,73.953916157,3.555067095,138,0
457,371,693.513845879,24.720829001,399,0
458,547,183.654641648,2.975996968,298,0
459,435,143.245479395,154.9432558,558,0
460,510,109.816237095,2.988829296,559,0
461,256,77.077606497,2.669670467,324,0
462,693,379.649069836,54.007252243,947,0
463,326,88.350796852,14.148295475000001,51,0
464,581,116.247884687,15.556303939,399,0
465,880,204.515120965,21.051545839,145,0
466,146,9.551963573,13.999654536,333,0
467,1496,478.815783717,13.245129215,761,0
468,131,21.866314242,768.186884016,9934,0
469,513,98.876029414,25.038508933,533,0
470,266,22.751365486,26.390921842,363,0
471,741,128.940549099,43.913428401,3075,0
472,916,87.609412284,20.777251523,1087,0
473,547,90.667820514,16.838649086,1729,0
474,0,0,38.10833518,62,0
475,0,0,77.89092564,256,0
476,0,0,54.970332757,17,0
477,0,0,314.858553,89,0
478,0,0,17.67723154,1,0
479,232,14.860899955999999,7.924619831999999,210,0
480,0,0,1.403604564,21281,0
481,420,569.242177987,81.064870751,319,0
482,565,308.025411873,23.71318961,126,0
483,518,92.42410961499999,249.009596064,642,0
484,390,83.011840208,43.54688883,370,0
485,10,3.542398906,13.440939841,133,0
486,0,0,0.441353003,108,0
487,763,304.111794314,1.8267413929999998,118,0
488,920,291.625445989,19.989825794999998,226,0
489,55,71.667956101,17.464056799999998,23,0
490,842,339.708510943,160.061470307,715,0
491,425,853.853470051,34.47653948,339,0
492,658,193.259323967,16.821905292,406,0
493,647,400.58049840300004,34.843279699,557,0
494,738,225.033817725,18.759750281,156,0
495,503,162.550460991,1.468307718,276,0
496,697,560.434807523,36.535623578,569,0
497,987,165.007413187,14.723565063,1654,0
498,726,213.747582262,1.4161052600000001,189,0
499,1337,275.552187219,66.795673113,594,0
500,424,252.76158956999998,19.984978708,108,0
501,280,159.350632291,17.183890227,67,0
502,479,178.899494631,7.061006352,871,0
503,300,137.693361122,10.531625919,328,0
504,1425,210.464056995,37.168778934,601,0
505,1110,100.899067043,141.784511882,4677,0
506,1,1.448954394,1.530076912,0,0
507,359,284.323326642,6.582929458,321,0
508,209,82.0960844,64.283262726,284,0
509,286,438.112128613,9.611752223,225,0
510,268,144.979483549,14.955431455,932,0
511,543,441.5295983106,3.724306166,89,0
512,352,66.355148742,127.736430511,3802,0
513,784,53.928671624,145.926566124,3634,0
514,395,123.428949234,1.00883462,231,0
515,1088,114.77997518,20.83907102,513,0
516,865,579.074401195,62.110362896999995,320,0
517,479,518.537213972,13.711640619,183,0
518,24,21.682906924,162.559967489,1614,0
519,427,231.387060633,27.677701631,132,0
520,394,216.02929424799999,40.525754885,647,0
521,270,220.609996409,25.721543133999997,68,0
522,333,523.806855524,39.439588661,466,0
523,659,397.259318761,19.05725904,281,0
524,761,34.162456609,17.732719947,1256,0
525,1464,152.441525208,8.318555793,713,0
526,1181,110.278420871,76.724782396,4768,0
527,872,71.240148685,174.831740851,8945,0
528,1332,197.718255354,32.677388144,864,0
529,429,221.454855653,84.723222251,932,0
530,1719,302.43022889,18.132279865,937,0
531,147,138.267914222,9.706751487,54,0
532,702,203.85323873,8.282960768,151,0
533,906,277.434032996,0.340381349,172,0
534,977,340.660683694,0.731763797,207,0
535,1381,973.131426696,35.291429855000004,1073,0
536,268,190.655262366,7.962231365,88,0
537,376,199.518087696,6.447622678,233,0
538,572,115.670818614,2.648111138,340,0
539,264,42.756839772,9.6533246,1201,0
540,138,20.630787299,17.69095454,225,0
541,1428,191.895516813,12.624233546,665,0
542,1384,369.820349229,33.943145266,878,0
543,1442,280.445640974,16.695925817,594,0
544,1010,719.664166826,23.785893899999998,612,0
545,790,317.310818871,114.647116994,2414,0
546,1056,492.677823454,7.503418451,401,0
547,528,195.878067923,2.230798347,51,0
548,618,138.70909096,18.599972238,432,0
549,585,153.763106768,11.467447767,764,0
550,517,182.130141478,0.65797743,215,0
551,377,118.364859991,11.308632331,1699,0
552,549,272.145941378,19.695644044,546,0
553,863,383.104574819,73.964956622,319,0
554,824,189.812051969,87.7502674,263,0
555,1018,266.65597692,34.663610032,230,0
556,493,128.459956062,123.647390219,609,0
557,873,61.972592641,14.579421857,145,0
558,646,199.980877454,21.175464469999998,591,0
559,467,271.175197102,3.093013979,136,0
560,53,24.512433322,23.517419443,291,0
561,285,128.215750727,12.844897944,42,0
562,7,8.724173129,85.007853007,4469,0
563,972,2681.92083203,22.046861632,235,0
564,358,23.816240388,50.515986016999996,573,0
565,0,0,55.232452429,2915,0
566,377,215.612457731,14.12882957,120,0
567,396,271.48466669100003,19.453632412999998,84,0
568,202,540.823628229,20.403588385,828,0
569,3,4.893000257,0,0,0
570,305,124.03339909900001,15.854174638,2676,0
571,211,57.285645803,44.439277278,1496,0
572,218,82.379582219,2.781509689,205,0
573,405,201.233906152,2.116665851,45,0
574,358,123.436259337,3.729313308,37,0
575,5,10.991610599,25.042654986,5,0
576,25,35.432054502,9.120320956,37,0
577,15,23.288896905,26.56997914,265,0
578,570,178.15386651400001,7.918989099,80,0
579,409,156.914383025,0.469068483,147,0
580,349,126.50231173899999,7.455847836,67,0
581,435,82.571018274,24.132460951,47,0
582,413,117.794618386,8.815429031,101,0
583,509,149.250339022,0.038253896,156,0
584,33,17.691449573,9.722939649,7,0
585,266,7.305295993,77.596371627,1297,0
586,0,0,63.231824674,621,0
587,3,7.860143913,145.3608376,4,0
588,572,201.345898874,21.631934559999998,89,0
589,247,47.241697397,18.717736328,1131,0
590,550,77.60261570099999,17.683703088,923,0
591,270,82.285423071,0,20,0
592,90,3.757912138,73.13746255,1762,0
593,560,124.496990868,36.196665942,1532,0
594,286,68.883607609,6.81721138,305,0
595,242,24.782932201,35.063264088000004,139,0
596,374,59.292642828,0.45153293400000005,48,0
597,271,45.198843106,0.846048498,232,0
598,824,269.365185199,29.733825259,216,0
599,3,6.390302269,50.397677740999995,62,0
600,95,100.787362664,106.102488339,177,0
601,334,154.57639575,7.633310857,72,0
602,491,167.148605991,3.122474585,209,0
603,68,79.864341343,116.24768127,481,0
604,166,55.467846886,174.83456123,429,0
605,766,101.891735175,23.864198783,717,0
606,623,127.953771487,15.854937025,1300,0
607,603,108.091230852,24.982881706,563,0
608,0,0,61.831147871999995,2727,0
609,671,74.669266336,36.982234793,831,0
610,349,41.625215324,23.368552405,1703,0
611,559,97.751019546,22.551395308,2160,0
612,724,350.971921666,0.476742851,60,0
613,381,123.066652616,4.876549379,28,0
614,384,95.868401261,37.210198467,6414,0
615,569,158.166583967,15.863415100000001,160,0
616,422,150.521940511,10.13549455,136,0
617,0,0,15.372230831000001,2,0
618,1354,657.191914296,73.376019646,733,0
619,282,88.006254933,62.806907624000004,243,0
620,1,0.994311451,75.048200171,866,0
621,830,171.79075654300001,45.922377783,587,0
622,342,85.311658658,35.022500092,216,0
623,295,53.653670532,7.7103401400000005,674,0
624,344,89.888642201,148.179813306,443,0
625,286,60.118225339,6.290393946,155,0
626,316,39.680062449,85.833169339,3959,0
627,1044,90.929115599,88.349416236,2481,0
628,535,83.766534268,7.097289535,532,0
629,526,107.167970415,3.2867102089999998,183,0
630,787,202.523796157,6.420688258999999,414,0
631,629,271.224776369,1.669495407,172,0
632,851,140.163180258,37.543499458,1493,0
633,526,221.905138581,3.798687225,183,0
634,525,79.862268557,18.478627580999998,1313,0
635,507,160.726890015,0.876460954,105,0
636,969,208.791363101,0,66,0
637,733,208.428503377,0.293120262,194,0
638,338,225.67841263100001,6.129492619,120,0
639,438,299.573871991,1.957033445,43,0
640,0,0,0,4,0
641,1647,584.608305349,83.433179933,4875,0
642,99,19.527752408999998,26.712603855,498,0
643,0,0,299.58096556,5562,0
644,139,14.310160862,244.954137892,2509,0
645,0,0,179.475762414,671,0
646,0,0,434.949951974,89,0
647,986,148.463274122,42.462581991,1504,0
648,402,91.115917546,7.735676355,292,0
649,437,62.391674496,5.837033152,206,0
650,1479,439.958791295,13.002840736,452,0
651,460,141.696145499,6.662658266,74,0
652,879,263.268617237,0,455,0
653,1483,466.96025207499997,44.117486635,945,0
654,685,454.521880649,8.886136135,155,0
655,0,0,0,0,0
656,0,0,0,0,0
657,0,0,0,8,0
658,0,0,0,0,0
659,0,0,13.817299258999999,127,0
660,0,0,2.317581951,11,0
661,0,0,0,43,0
662,0,0,67.827831428,714,0
663,0,0,5,85,0
664,0,0,33.83971523,5,0
