TAZID,CO_FIPS,xcoord,ycoord
1762,35,-111.886037329548,40.5089442769504
1772,35,-111.87514716158,40.4973638325534
1770,35,-111.862577239004,40.5057311198982
1766,35,-111.841555804539,40.5213137013564
1778,35,-111.875713822078,40.4886481370102
1779,35,-111.888269767643,40.4858624538116
1780,35,-111.894427272123,40.4808126492201
1773,35,-111.892975217044,40.486226344814
1793,49,-111.980983337373,40.2757916614078
1797,49,-112.009761653259,40.286131741368
1794,49,-112.003012453905,40.2774013857183
1809,49,-112.053480405866,40.2689271024239
1803,49,-112.071853388299,40.2543823128432
1805,49,-112.088783576098,40.2645149941395
1808,49,-112.073170459584,40.2684479754214
1799,49,-112.033664912643,40.2547388443738
1806,49,-112.11879180583,40.2676997476711
1822,49,-111.980286186015,40.301725974934
1823,49,-111.999567726039,40.3017791502423
1831,49,-112.0270875308,40.3082047017572
1813,49,-112.072580843916,40.2981482335735
1834,49,-112.053695358443,40.3127768026875
1817,49,-112.105031529948,40.3008508958916
1839,49,-112.121485105584,40.3143431228737
1842,49,-112.109102925197,40.3248073972228
1853,49,-112.090375114763,40.3338033571715
1857,49,-112.04507100059,40.3659622000433
1865,49,-111.999113324019,40.3083248271644
1866,49,-112.009706114316,40.3085881761168
1867,49,-112.018329447086,40.3116954650325
1828,49,-112.019665943581,40.3020839621277
1869,49,-112.009646786401,40.3136510583499
1868,49,-112.022099818347,40.3170438090769
1876,49,-111.989980275536,40.3294048241426
1877,49,-111.997646026731,40.3270935947449
1878,49,-112.007839664084,40.3296006818389
1879,49,-111.996753013453,40.3367212207862
1880,49,-112.007112214645,40.3353763501204
1881,49,-112.001833925614,40.3443778195697
1882,49,-112.021806890974,40.3238293270901
1885,49,-112.015691174776,40.3368175621858
1888,49,-112.013341074795,40.343968382143
1893,49,-112.015257631947,40.3541652498359
1897,49,-112.033823883978,40.3646130729671
1898,49,-111.974494843653,40.3351548444533
1900,49,-111.982275417406,40.3549215008104
1901,49,-111.979707309246,40.3594557443664
1902,49,-111.990746755738,40.3595756033459
1899,49,-111.991163456921,40.3475524565825
1906,49,-111.994882278741,40.3709742363884
1903,49,-112.003649610698,40.3565596296921
1904,49,-111.979760672751,40.3650355776446
1905,49,-111.978003966296,40.373466449235
1910,49,-112.026150621464,40.3734716767673
