taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor
175,Residential,Block,NoCharger,1000000,0,Any
175,Workplace,Block,NoCharger,1000000,0,Any
176,Public,Block,NoCharger,1000000,0,Any
176,Residential,Block,NoCharger,1000000,0,Any
176,Workplace,Block,NoCharger,1000000,0,Any
177,Public,Block,NoCharger,1000000,0,Any
177,Residential,Block,NoCharger,1000000,0,Any
177,Workplace,Block,NoCharger,1000000,0,Any
178,Public,Block,NoCharger,1000000,0,Any
178,Residential,Block,NoCharger,1000000,0,Any
178,Workplace,Block,NoCharger,1000000,0,Any
179,Public,Block,NoCharger,1000000,0,Any
179,Residential,Block,NoCharger,1000000,0,Any
179,Workplace,Block,NoCharger,1000000,0,Any
180,Public,Block,NoCharger,1000000,0,Any
180,Residential,Block,NoCharger,1000000,0,Any
180,Workplace,Block,NoCharger,1000000,0,Any
181,Public,Block,NoCharger,1000000,0,Any
181,Residential,Block,NoCharger,1000000,0,Any
181,Workplace,Block,NoCharger,1000000,0,Any
182,Public,Block,NoCharger,1000000,0,Any
182,Residential,Block,NoCharger,1000000,0,Any
182,Workplace,Block,NoCharger,1000000,0,Any
183,Public,Block,NoCharger,1000000,0,Any
183,Residential,Block,NoCharger,1000000,0,Any
183,Workplace,Block,NoCharger,1000000,0,Any
184,Public,Block,NoCharger,1000000,0,Any
184,Residential,Block,NoCharger,1000000,0,Any
184,Workplace,Block,NoCharger,1000000,0,Any
185,Public,Block,NoCharger,1000000,0,Any
185,Residential,Block,NoCharger,1000000,0,Any
185,Workplace,Block,NoCharger,1000000,0,Any
186,Public,Block,NoCharger,1000000,0,Any
186,Residential,Block,NoCharger,1000000,0,Any
186,Workplace,Block,NoCharger,1000000,0,Any
187,Public,Block,NoCharger,1000000,0,Any
187,Residential,Block,NoCharger,1000000,0,Any
187,Workplace,Block,NoCharger,1000000,0,Any
188,Public,Block,NoCharger,1000000,0,Any
188,Residential,Block,NoCharger,1000000,0,Any
188,Workplace,Block,NoCharger,1000000,0,Any
189,Public,Block,NoCharger,1000000,0,Any
189,Residential,Block,NoCharger,1000000,0,Any
189,Workplace,Block,NoCharger,1000000,0,Any
190,Public,Block,NoCharger,1000000,0,Any
190,Residential,Block,NoCharger,1000000,0,Any
190,Workplace,Block,NoCharger,1000000,0,Any
191,Public,Block,NoCharger,1000000,0,Any
191,Residential,Block,NoCharger,1000000,0,Any
191,Workplace,Block,NoCharger,1000000,0,Any
192,Public,Block,NoCharger,1000000,0,Any
192,Residential,Block,NoCharger,1000000,0,Any
192,Workplace,Block,NoCharger,1000000,0,Any
193,Public,Block,NoCharger,1000000,0,Any
193,Residential,Block,NoCharger,1000000,0,Any
193,Workplace,Block,NoCharger,1000000,0,Any
194,Public,Block,NoCharger,1000000,0,Any
194,Residential,Block,NoCharger,1000000,0,Any
194,Workplace,Block,NoCharger,1000000,0,Any
195,Public,Block,NoCharger,1000000,0,Any
195,Residential,Block,NoCharger,1000000,0,Any
195,Workplace,Block,NoCharger,1000000,0,Any
196,Public,Block,NoCharger,1000000,0,Any
196,Residential,Block,NoCharger,1000000,0,Any
196,Workplace,Block,NoCharger,1000000,0,Any
